panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2a_single_staggered,5,9,10,4.318267000,4.318431850,0.000214227,20000,4000000,20260901,"28 28 29 30 31 32 33 34 35"
table2a_single_staggered,6,4,1,3.105787750,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,2,3.105838500,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,3,3.106106000,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,4,3.105583000,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,5,3.105892000,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,6,3.105863000,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,7,3.105784000,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,8,3.106432250,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,9,3.105873250,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,4,10,3.105762500,3.105892225,0.000164605,20000,4000000,20260901,"32 32 33 34"
table2a_single_staggered,6,5,1,3.586883500,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,2,3.586603250,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,3,3.587018000,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,4,3.586616250,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,5,3.587044750,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,6,3.587165250,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,7,3.587156000,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,8,3.587453000,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,9,3.586554000,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,5,10,3.587215000,3.586970900,0.000215153,20000,4000000,20260901,"32 32 33 34 35"
table2a_single_staggered,6,6,1,3.987088500,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,2,3.986835500,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,3,3.987429000,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,4,3.986982000,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,5,3.987242250,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,6,3.987449250,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,7,3.987376250,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,8,3.987950250,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,9,3.986760750,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,6,10,3.987632250,3.987274600,0.000264164,20000,4000000,20260901,"32 32 33 34 35 36"
table2a_single_staggered,6,7,1,4.319872000,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,2,4.319702000,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,3,4.320761500,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,4,4.320129250,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,5,4.320728250,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,6,4.320685750,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,7,4.320644750,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,8,4.321196750,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,9,4.320210250,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,7,10,4.320826500,4.320475700,0.000338465,20000,4000000,20260901,"32 32 33 34 35 36 37"
table2a_single_staggered,6,8,1,4.596883750,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,2,4.597221750,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,3,4.597957500,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,4,4.597392000,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,5,4.597786750,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,6,4.597883000,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,7,4.597680500,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,8,4.598576000,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,9,4.597272000,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,8,10,4.598194750,4.597684800,0.000360896,20000,4000000,20260901,"32 32 33 34 35 36 37 38"
table2a_single_staggered,6,9,1,4.828211000,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,2,4.828095250,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,3,4.828803250,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,4,4.828220500,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,5,4.828744500,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,6,4.829011250,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,7,4.828647250,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,8,4.829753500,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,9,4.828345750,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
table2a_single_staggered,6,9,10,4.828977000,4.828680925,0.000358123,20000,4000000,20260901,"32 32 33 34 35 36 37 38 39"
