n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|3|5|5,1,15,13.452262,0.000917,15,13.452774,0.001367
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|3|5|5,1,15,13.114624,0.001304,15,13.114712,0.001546
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|4|5|5,1,15,13.087745,0.000913,15,13.087266,0.001133
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|5|5|5,1,15,12.650308,0.001274,15,12.650819,0.000849
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|1|1|1|6,1,15,14.070123,0.001354,15,14.070491,0.001521
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|1|2|6,1,15,14.096410,0.001703,15,14.096394,0.001682
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|2|2|6,1,15,14.055014,0.002043,15,14.054487,0.001741
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|2|2|2|6,1,15,13.943412,0.001118,15,13.943640,0.000543
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|2|2|2|2|6,1,15,13.754171,0.001027,15,13.754733,0.000946
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|1|3|6,1,15,14.027519,0.001990,15,14.027465,0.001084
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|2|3|6,1,15,13.940981,0.001195,15,13.941642,0.000834
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|2|2|3|6,1,15,13.766014,0.001130,15,13.766295,0.000955
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|2|2|2|3|6,1,15,13.494760,0.001510,15,13.495031,0.001051
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|3|3|6,1,15,13.741456,0.001058,15,13.741040,0.001244
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|3|3|6,1,15,13.485641,0.000831,15,13.486287,0.000727
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|3|3|3|6,1,15,13.115062,0.000842,15,13.115206,0.000884
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|1|4|6,1,15,13.888504,0.001161,15,13.887931,0.001313
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|2|4|6,1,15,13.739693,0.001078,15,13.739930,0.001439
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|2|4|6,1,15,13.484170,0.001076,15,13.484052,0.001146
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|3|4|6,1,15,13.459676,0.000948,15,13.458794,0.001315
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|3|4|6,1,15,13.118596,0.000821,15,13.118138,0.001053
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|4|4|6,1,15,13.090874,0.001156,15,13.090891,0.000772
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|1|5|6,1,15,13.678199,0.000990,15,13.677733,0.000990
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|2|5|6,1,15,13.452248,0.000731,15,13.452462,0.000995
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|2|5|6,1,15,13.112440,0.000939,15,13.112355,0.001159
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|3|5|6,1,15,13.091039,0.001218,15,13.091235,0.001244
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|4|5|6,1,15,12.652013,0.001460,15,12.651617,0.001422
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|1|6|6,1,15,13.392505,0.000926,15,13.392554,0.001120
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|2|6|6,1,15,13.084883,0.001084,15,13.084543,0.001196
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|3|6|6,1,15,12.651238,0.001215,15,12.651136,0.001530
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|1|1|7,1,15,14.009526,0.001441,15,14.010326,0.001400
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|1|2|7,1,15,14.007289,0.001536,15,14.007411,0.001133
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|2|2|7,1,15,13.919594,0.001470,15,13.919378,0.001510
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|2|2|2|7,1,15,13.743334,0.001029,15,13.743233,0.001268
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|2|2|2|2|7,1,15,13.472550,0.001075,15,13.472547,0.000607
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|1|3|7,1,15,13.889244,0.001224,15,13.889265,0.001229
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|2|3|7,1,15,13.738953,0.001166,15,13.739441,0.001252
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|2|3|7,1,15,13.482102,0.001149,15,13.482109,0.001092
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|3|3|7,1,15,13.457350,0.000768,15,13.456980,0.001211
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|3|3|7,1,15,13.115097,0.001112,15,13.115736,0.000876
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|1|4|7,1,15,13.683273,0.000764,15,13.683537,0.001424
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|2|4|7,1,15,13.455454,0.001084,15,13.455705,0.000996
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|2|4|7,1,15,13.113581,0.001344,15,13.114193,0.001450
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|3|4|7,1,15,13.091689,0.000955,15,13.092371,0.000950
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|4|4|7,1,15,12.651682,0.001331,15,12.651254,0.001100
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|1|5|7,1,15,13.396586,0.001268,15,13.396472,0.001220
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|2|5|7,1,15,13.087377,0.000965,15,13.086976,0.000658
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|3|5|7,1,15,12.652040,0.001291,15,12.651568,0.001029
