n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|3|3|7,,1,15,12.114149,0.001040,15,12.114652,0.001069
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|3|3|7,,1,15,11.633913,0.000976,15,11.633479,0.001333
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|1|4|7,,1,15,12.482502,0.001176,15,12.482099,0.001415
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|2|4|7,,1,15,12.109622,0.000973,15,12.109061,0.001051
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|2|4|7,,1,15,11.630435,0.001555,15,11.630859,0.001551
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|3|4|7,,1,15,11.603097,0.001534,15,11.603450,0.001212
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|4|4|7,,1,15,11.038430,0.001406,15,11.038177,0.001365
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|1|5|7,,1,15,12.040500,0.001071,15,12.040415,0.001027
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|2|5|7,,1,15,11.597746,0.001509,15,11.597848,0.000995
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|3|5|7,,1,15,11.038661,0.001054,15,11.037967,0.001409
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|1|6|7,,1,15,11.543172,0.000844,15,11.543641,0.001163
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|2|6|7,,1,15,11.035097,0.001254,15,11.035467,0.001026
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|7|7,,1,15,10.996427,0.001367,15,10.996022,0.001630
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|1|1|8,,1,15,12.985560,0.000914,15,12.985200,0.000877
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|1|2|8,,1,15,12.819371,0.000931,15,12.818807,0.000916
