n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|3|6|6,1,15,9.471749,0.000599,15,9.471671,0.000502
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|1|1|7,1,15,9.955419,0.000224,15,9.955359,0.000141
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|1|2|7,1,15,9.967401,0.000209,15,9.967413,0.000164
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|2|2|7,1,15,9.950635,0.000213,15,9.950622,0.000207
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|2|2|2|7,1,15,9.898813,0.000236,15,9.898655,0.000172
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|2|2|2|2|7,1,15,9.805615,0.000257,15,9.805542,0.000340
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|3|7,1,15,9.941194,0.000139,15,9.941203,0.000204
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|2|3|7,1,15,9.894856,0.000263,15,9.895042,0.000280
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|2|2|3|7,1,15,9.805047,0.000385,15,9.804714,0.000432
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|3|3|7,1,15,9.800698,0.000552,15,9.800751,0.000517
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|3|3|7,1,15,9.664991,0.000599,15,9.664825,0.000458
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|4|7,1,15,9.884876,0.000272,15,9.884801,0.000207
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|2|4|7,1,15,9.800390,0.000396,15,9.800547,0.000461
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|2|4|7,1,15,9.664970,0.000555,15,9.664651,0.000452
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|3|4|7,1,15,9.661372,0.000425,15,9.661517,0.000611
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|4|4|7,1,15,9.471960,0.000599,15,9.471601,0.000485
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|5|7,1,15,9.790983,0.000360,15,9.791118,0.000448
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|2|5|7,1,15,9.661024,0.000496,15,9.660782,0.000539
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|3|5|7,1,15,9.471679,0.000422,15,9.471499,0.000597
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|6|7,1,15,9.652821,0.000413,15,9.653108,0.000465
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|2|6|7,1,15,9.471471,0.000685,15,9.471306,0.000626
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|7|7,1,15,9.465211,0.000732,15,9.465026,0.000604
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|1|1|8,1,15,9.947232,0.000291,15,9.947330,0.000239
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|2|8,1,15,9.939746,0.000159,15,9.939915,0.000211
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|2|2|8,1,15,9.893698,0.000224,15,9.893596,0.000229
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|2|2|2|8,1,15,9.803557,0.000439,15,9.803530,0.000166
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|3|8,1,15,9.884957,0.000304,15,9.884684,0.000358
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|2|3|8,1,15,9.800229,0.000447,15,9.800221,0.000483
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|2|3|8,1,15,9.664741,0.000641,15,9.664893,0.000717
