timestamp,elapsed_sec,m,n,B,bidirectional,K,s_size,s_mean,s_CI_halfwidth_onesided,s_CI_halfwidth_twosided,s_buffers,c_size,c_mean,c_CI_halfwidth_onesided,c_CI_halfwidth_twosided,c_buffers,m_S_star_blocks,m_worst_C_blocks,epsilon_hat,certified
2026-09-01T16:48:57,70.6407,3,4,10,0,11,6,0.7496953946,4.089152342e-06,4.52767987e-06,"forward=[0,3,7] | backward=[0,0,0]",5,0.7472588,8.437903394e-05,9.342798248e-05,"forward=[0,6,4] | backward=[0,0,0]",249998,5000,0,1
2026-09-01T16:51:10,203.224,3,4,10,1,286,6,0.7499214314,2.278461073e-06,2.522807044e-06,"forward=[0,0,0] | backward=[0,3,7]",280,0.7499357114,1.291329729e-05,1.429814086e-05,"forward=[0,0,1] | backward=[0,3,6]",249969,5000,3.652750393e-05,1
2026-09-01T16:49:40,26.0505,3,4,1,0,2,1,0.663297918,3.783516005e-05,4.189266581e-05,"forward=[0,0,1] | backward=[0,0,0]",1,0.6193224645,0.0002659666733,0.0002944893836,"forward=[0,1,0] | backward=[0,0,0]",249999,5000,0,1
2026-09-01T16:49:58,42.4584,3,4,1,1,4,1,0.708248283,2.79245996e-05,3.091928031e-05,"forward=[0,0,0] | backward=[0,0,1]",3,0.7015708283,0.0002140331043,0.0002369863719,"forward=[0,0,1] | backward=[0,0,0]",249998,5000,0,1
2026-09-01T16:49:24,35.3014,3,4,2,0,3,2,0.7060411888,3.357515971e-05,3.717581592e-05,"forward=[0,1,1] | backward=[0,0,0]",1,0.6244471789,0.0002522969178,0.0002793536607,"forward=[0,2,0] | backward=[0,0,0]",249998,5000,0,1
2026-09-01T16:49:56,58.1433,3,4,2,1,10,2,0.7300073603,2.292661207e-05,2.538530025e-05,"forward=[0,0,0] | backward=[0,1,1]",8,0.71812,0.0001752716756,0.0001940681029,"forward=[0,0,1] | backward=[0,0,1]",249993,5000,0,1
2026-09-01T16:49:16,35.5372,3,4,3,0,4,2,0.7302776393,2.595350617e-05,2.873680352e-05,"forward=[0,1,2] | backward=[0,0,0]",2,0.7100720288,0.0002246925635,0.0002487889694,"forward=[0,2,1] | backward=[0,0,0]",249998,5000,0,1
2026-09-01T16:49:50,61.4413,3,4,3,1,20,2,0.7430296126,1.65109752e-05,1.828163976e-05,"forward=[0,0,0] | backward=[0,1,2]",18,0.7210964,0.0001622889812,0.0001796931227,"forward=[0,0,1] | backward=[0,0,2]",249999,5000,0,1
2026-09-01T16:49:15,44.0322,3,4,4,0,5,3,0.7386717014,1.985284777e-05,2.198190033e-05,"forward=[0,1,3] | backward=[0,0,0]",2,0.7106470588,0.0002189758834,0.0002424592229,"forward=[0,3,1] | backward=[0,0,0]",249999,5000,0,1
2026-09-01T16:49:59,79.7373,3,4,4,1,35,3,0.7466466687,1.197378219e-05,1.32578706e-05,"forward=[0,0,0] | backward=[0,1,3]",32,0.7217891578,0.0001574801778,0.0001743686151,"forward=[0,0,1] | backward=[0,0,3]",249997,5000,0,1
